PROV_,DEPTO_,COD_2010,eph_codagl,eph_aglome
02,004,020040208,32,CABA
02,004,020040209,32,CABA
02,004,020040210,32,CABA
02,004,020040301,32,CABA
02,004,020040302,32,CABA
02,004,020040303,32,CABA
02,004,020040304,32,CABA
02,004,020040305,32,CABA
02,004,020040306,32,CABA
02,004,020040307,32,CABA
02,004,020040308,32,CABA
02,004,020040309,32,CABA
02,004,020040310,32,CABA
02,004,020040311,32,CABA
02,004,020040312,32,CABA
02,004,020040313,32,CABA
02,004,020040401,32,CABA
02,004,020040402,32,CABA
02,004,020040403,32,CABA
02,004,020040404,32,CABA
02,004,020040405,32,CABA
02,004,020040406,32,CABA
02,004,020040407,32,CABA
02,004,020040408,32,CABA
02,004,020040409,32,CABA
02,004,020040410,32,CABA
02,004,020040411,32,CABA
02,004,020040501,32,CABA
02,004,020040502,32,CABA
02,004,020040503,32,CABA
02,004,020040504,32,CABA
02,004,020040505,32,CABA
02,004,020040506,32,CABA
02,004,020040507,32,CABA
02,004,020040508,32,CABA
02,004,020040509,32,CABA
02,004,020040510,32,CABA
02,004,020040511,32,CABA
02,004,020040601,32,CABA
02,004,020040602,32,CABA
02,004,020040603,32,CABA
02,004,020040604,32,CABA
02,004,020040605,32,CABA
02,004,020040606,32,CABA
02,004,020040607,32,CABA
02,004,020040608,32,CABA
02,004,020040609,32,CABA
02,004,020040610,32,CABA
02,004,020040611,32,CABA
02,004,020040701,32,CABA
02,004,020040702,32,CABA
02,004,020040703,32,CABA
02,004,020040704,32,CABA
02,004,020040705,32,CABA
02,004,020040706,32,CABA
02,004,020040707,32,CABA
02,004,020040708,32,CABA
02,004,020040709,32,CABA
02,004,020040710,32,CABA
02,004,020040711,32,CABA
02,004,020040712,32,CABA
02,004,020040801,32,CABA
02,004,020040802,32,CABA
02,004,020040803,32,CABA
02,004,020040804,32,CABA
02,004,020040805,32,CABA
02,004,020040806,32,CABA
02,004,020040807,32,CABA
02,004,020040808,32,CABA
02,004,020040809,32,CABA
02,004,020040810,32,CABA
02,004,020040811,32,CABA
02,004,020040901,32,CABA
02,004,020040902,32,CABA
02,004,020040903,32,CABA
02,004,020040904,32,CABA
02,004,020040905,32,CABA
02,004,020040906,32,CABA
02,004,020040907,32,CABA
02,004,020041001,32,CABA
02,004,020041002,32,CABA
02,004,020041003,32,CABA
02,004,020041004,32,CABA
02,004,020041005,32,CABA
02,004,020041006,32,CABA
02,004,020041007,32,CABA
02,004,020041008,32,CABA
02,004,020041009,32,CABA
02,004,020041101,32,CABA
02,004,020041102,32,CABA
02,004,020041103,32,CABA
02,004,020041104,32,CABA
02,004,020041105,32,CABA
02,004,020041106,32,CABA
02,004,020041107,32,CABA
02,004,020041108,32,CABA
02,004,020041109,32,CABA
02,004,020041201,32,CABA
02,004,020041202,32,CABA
02,004,020041203,32,CABA
02,004,020041204,32,CABA
02,004,020041205,32,CABA
